# Auto-generated from s1disasm REV00 listing — do not edit
000001,VoiceControl,v_main_tempo_timeout
000002,TempoDivider,v_main_tempo
000003,f_pausemusic,
000004,DataPointer,v_fadeout_counter
000006,v_fadeout_delay,
000007,v_communication_byte,
000008,Transpose,f_updating_dac
000009,Volume,v_sound_id
00000A,AMSFMSPan,v_soundqueue_start / v_soundqueue0
00000B,VoiceIndex,v_soundqueue1
00000C,VolEnvIndex,v_soundqueue2
00000D,StackPointer,v_soundqueue_end
00000E,DurationTimeout,f_voice_selector
00000F,SavedDuration,
000010,SavedDAC,Freq
000012,NoteTimeout,
000013,NoteTimeoutMaster,
000014,ModulationPtr,
000018,ModulationWait,v_voice_ptr
000019,ModulationSpeed,
00001A,ModulationDelta,zBankSwitchLoop
00001B,ModulationSteps,
00001C,ModulationVal,
00001E,Detune,
00001F,PSGNoise,FeedbackAlgo
000020,VoicePtr,v_special_voice_ptr
000022,zDACDecodeTbl,
000024,LoopCounters,f_fadein_flag
000025,v_fadein_delay,
000026,v_fadein_counter,zStartupCodeEndLoc
000027,f_1up_playing,
000028,v_tempo_mod,
000029,v_speeduptempo,
00002A,f_speedup,
00002B,v_ring_speaker,
00002C,f_push_playing,
000030,GoSubStack,
000032,zCheckForSamples,
000035,zWaitDACLoop,
000040,v_track_ram,v_music_track_ram / v_music_fmdac_tracks / v_music_dac_track
000048,Warning,
000070,v_music_fm_tracks,v_music_fm1_track
000074,have,
000077,zPlayPCMLoop,
000082,have,
000090,have,
000098,have,
0000A0,v_music_fm2_track,
0000A6,have,
0000B9,zPlay_SegaPCM,
0000C1,zPlaySEGAPCMLoop,
0000D0,v_music_fm3_track,
0000D6,zPCM_Table,
000100,v_music_fm4_track,
000130,v_music_fm5_track,
000160,v_music_fm6_track,
00018E,Checksum,
000190,v_music_fm_tracks_end,v_music_fmdac_tracks_end / v_music_psg_tracks / v_music_psg1_track
0001A4,RomEndLoc,
0001C0,v_music_psg2_track,
0001F0,v_music_psg3_track,
000200,EndOfHeader,ErrorTrap
000206,EntryPoint,
000214,PortA_Ok,
000220,v_music_psg_tracks_end,v_music_track_ram_end / v_1up_ram_end / v_sfx_track_ram / v_sfx_fm_tracks / v_sfx_fm3_track
000234,SkipSecurity,
00023E,VDPInitLoop,
000250,v_sfx_fm4_track,WaitForZ80
000256,Z80InitLoop,
000262,ClrRAMLoop,
00026E,ClrCRAMLoop,
000278,ClrVSRAMLoop,
000280,v_sfx_fm5_track,PSGInitLoop
000292,SkipSetup,
000294,SetupValues,
0002B0,v_sfx_fm_tracks_end,v_sfx_psg_tracks / v_sfx_psg1_track
0002E0,v_sfx_psg2_track,
000300,GameProgram,
000310,v_sfx_psg3_track,
00031C,CheckSumCheck,
00032C,loop,
00033E,CheckSumOk,
000340,v_sfx_psg_tracks_end,v_sfx_track_ram_end / v_spcsfx_track_ram / v_spcsfx_fm_tracks / v_spcsfx_fm4_track
000348,clearRAM,
000364,GameInit,
000370,v_spcsfx_fm_tracks_end,v_spcsfx_psg_tracks / v_spcsfx_psg3_track / clearRAM
000388,MainGameLoop,
000396,GameModeArray,ptr_GM_Sega
00039A,ptr_GM_Title,
00039E,ptr_GM_Demo,
0003A0,v_spcsfx_psg_tracks_end,v_spcsfx_track_ram_end / v_track_ram_end / v_1up_ram_copy
0003A2,ptr_GM_Level,
0003A6,ptr_GM_Special,
0003AA,ptr_GM_Cont,
0003AE,ptr_GM_Ending,
0003B2,ptr_GM_Credits,
0003B8,CheckSumError,
0003C8,fillred,
0003D4,endlessloop,
0003D6,BusError,
0003DE,AddressError,
0003E6,IllegalInstr,
0003F2,ZeroDivide,
0003FA,ChkInstr,
000402,TrapvInstr,
00040A,PrivilegeViol,
000412,Trace,
00041A,Line1010Emu,
000426,Line1111Emu,
000432,ErrorExcept,
00043A,loc_43A,
000462,loc_462,
000478,loc_478,
000488,ShowErrorMessage,
0004A2,loadgfx,
0004C2,showchars,
0004D2,ErrorText,
0004E8,exception,
0004FB,bus,
00050E,address,
000521,illinstruct,
000534,zerodivide,
000547,chkinstruct,
00055A,trapv,
00056D,privilege,
000580,trace,
000593,line1010,
0005A6,line1111,
0005BA,ShowErrorValue,
0005C0,loop,
0005CA,shownumber,
0005D8,chars0to9,
0005E0,ErrorWaitForC,
0005F0,Art_Text,
000B10,Art_Text_End,loc_B10 / VBlank
000B3E,waitPAL,
000B42,notPAL,
000B5E,VBla_Music,
000B64,VBla_Exit,
000B6E,VBla_Index,
000B88,loc_B88,VBla_00
000B9A,islevel,
000BB6,waitPAL,
000BBA,notPAL,
000BC8,wait,
000BFE,waterabove,
000C22,waterbelow,
000C32,loc_C32,VBla_02
000C36,VBla_14,
000C44,loc_C44,VBla_04
000C5E,loc_C5E,VBla_06
000C64,loc_C64,VBla_10
000C6E,loc_C6E,VBla_08
000C76,wait,
000CB0,waterabove,
000CD4,waterbelow,
000D50,nochg,
000D84,Demo_Time,VBla_UpdateScreen
000DA6,VBla_0A,
000DAE,wait,
000E64,nochg,
000E72,VBla_0C,VBla_18
000E7A,wait,
000EB4,waterabove,
000ED8,waterbelow,
000F54,nochg,
000F8A,VBla_0E,
000F9A,VBla_12,
000FA6,VBla_16,
000FAE,wait,
001060,nochg,
00106E,sub_106E,VBla_StandardTransfers
001076,wait,
0010B0,underwater,
0010D4,rest,
001126,HBlank,
00119C,nochg,
00119E,loc_119E,delayed_transfer
0011B6,JoypadInit,
0011BE,wait,
0011E6,ReadJoypads,
0011F4,read,
001222,VDPSetupGame,
001236,setreg,
00125C,clrCRAM,
00128E,wait,
00129E,VDPSetupArray,
0012C4,VDPSetupArray_End,ClearScreen
0012E6,wait,
001314,wait,
001330,length,
00133A,loop,
001340,length,
00134A,loop,
001352,SoundDriverLoad,DACDriverLoad
001396,input,PlaySound / QueueSound1
00139C,PlaySound_Special,QueueSound2
0013A2,PlaySound_Unused,QueueSound3
0013A8,PauseGame,
0013BE,Pause_StopGame,
0013CA,Pause_Loop,
0013EC,Pause_ChkBC,
0013FC,Pause_ChkStart,
001404,Pause_EndMusic,
00140A,Unpause,
001410,Pause_DoNothing,
001412,Pause_SlowMo,
001420,input,TilemapToVRAM
00142C,Tilemap_Line,
001432,Tilemap_Cell,
001440,Inputs,http / NemDec
001452,Inputs,NemDecToRAM
00145C,NemDecMain,
00146A,loc_146A,
00148A,NemDec_ProcessCompressedData,
0014B2,loc_14B2,
0014C0,NemPCD_ProcessCompressedData,
0014C2,NemPCD_WritePixel,
0014CC,NemPCD_NewRow,
0014D0,NemPCD_WritePixel_Loop,
0014D6,NemPCD_InlineData,
0014E4,loc_14E4,
001502,NemPCD_WriteRowToVDP,
00150C,NemPCD_WriteRowToVDP_XOR,
001518,NemPCD_WriteRowToRAM,
001522,NemPCD_WriteRowToRAM_XOR,
00152E,NemDec_BuildCodeTable,
001530,NemBCT_ChkEnd,
001538,NemBCT_NewPALIndex,
00153A,NemBCT_Loop,
001568,NemBCT_ShortCode,
001574,NemBCT_ShortCode_Loop,
001580,LoadPLC,AddPLC
001598,findspace,
0015A0,copytoRAM,
0015A4,loop,
0015AC,skip,
0015B2,NOTICE,LoadPLC2 / NewPLC
0015D0,loop,
0015D8,skip,
0015DE,ClearPLC,
0015E4,loop,
0015EC,RunPLC,
00160E,loc_160E,
001640,Rplc_Exit,
001642,sub_1642,ProcessDPLC_9Tiles
00165E,sub_165E,ProcessDPLC2 / ProcessDPLC_3Tiles
001676,loc_1676,ProcessDPLC
0016AA,loc_16AA,
0016DA,locret_16DA,
0016DC,loc_16DC,
0016E2,loc_16E2,
0016EC,QuickPLC,
0016FE,Qplc_Loop,
00171E,input,usage / http / EniDec
00173E,loc_173E,Eni_Loop
001758,loc_1758,sevenbitentry
001768,loc_1768,EniDec_00 / loop
001772,loc_1772,EniDec_01 / loop
00177A,loc_177A,EniDec_100
00177E,loc_177E,loop
001786,loc_1786,EniDec_101
00178A,loc_178A,loop
001794,loc_1794,EniDec_110
001798,loc_1798,loop
0017A2,loc_17A2,EniDec_111
0017A8,loc_17A8,loop
0017B4,loc_17B4,EniDec_Index
0017C4,loc_17C4,EniDec_Done
0017CE,loc_17CE,notnewbyte
0017D6,loc_17D6,evenbyte
0017DC,loc_17DC,EniDec_FetchInlineValue
0017EE,loc_17EE,skippriority
0017FC,loc_17FC,skiphighpal
00180A,loc_180A,skiplowpal
001818,loc_1818,skipyflip
001826,loc_1826,skipxflip
001844,loc_1844,maskvalue
001856,loc_1856,enoughbits
001868,loc_1868,justenough
00186C,word_186C,EniDec_Masks
00188C,sub_188C,EniDec_FetchByte
00189A,locret,
00189C,input,usage / KosDec
0018A8,Kos_Loop,
0018BA,chkbit,
0018C2,Kos_RLE,
0018D6,chkbit,
0018EA,loop1,
0018FC,loop2,
001906,Kos_SeparateRLE,
00191C,Kos_RLELoop,
001928,Kos_SeparateRLE2,
001938,Kos_Done,
00193C,PaletteCycle,
00194E,PalCycle_Index,
00195A,_end,
00195C,PalCycle_Title,
001964,PalCycle_GHZ,
00196A,PCycGHZ_Go,
001990,PCycGHZ_Skip,
001992,PalCycle_LZ,
0019C0,PCycLZ_NotSBZ3,
0019D8,PCycLZ_Skip1,
0019F0,PCycLZ_NoRev,
001A0A,loc_1A0A,
001A3A,PCycLZ_Skip2,
001A3C,PCycLZ_Seq,
001A44,PalCycle_MZ,
001A46,PalCycle_SLZ,
001A60,loc_1A60,
001A80,locret_1A80,
001A82,PalCycle_SYZ,
001AC6,locret_1AC6,
001AC8,PalCycle_SBZ,
001ADA,loc_1ADA,
001AE0,loc_1AE0,
001AEA,loc_1AEA,
001AF6,loc_1AF6,
001B06,loc_1B06,
001B2E,loc_1B2E,
001B38,loc_1B38,
001B52,loc_1B52,
001B64,locret_1B64,
001B66,Pal_TitleCyc,
001B86,Pal_GHZCyc,
001BA6,Pal_LZCyc1,
001BC6,Pal_LZCyc2,
001BD8,Pal_LZCyc3,
001BEA,Pal_SBZ3Cyc,
001C0A,Pal_MZCyc,
001C52,Pal_SLZCyc,
001C76,Pal_SYZCyc1,
001C96,Pal_SYZCyc2,
001CA6,mSBZh,__LABEL__ / mSBZp / Pal_SBZCycList1
001CDE,Pal_SBZCycList1_end,Pal_SBZCycList2
001D0A,Pal_SBZCycList2_end,Pal_SBZCyc1
001D1A,Pal_SBZCyc2,
001D2A,Pal_SBZCyc3,
001D3A,Pal_SBZCyc4,
001D46,Pal_SBZCyc5,
001D56,Pal_SBZCyc6,
001D66,Pal_SBZCyc7,
001D86,Pal_SBZCyc8,
001D90,Pal_SBZCyc9,
001DA0,Pal_SBZCyc10,
001DAC,PaletteFadeIn,
001DB2,PalFadeIn_Alt,
001DC4,fill,
001DCE,mainloop,
001DE4,FadeIn_FromBlack,
001DFA,addcolour,
001E1E,addcolour2,
001E24,exit,
001E26,FadeIn_AddColour,addblue
001E3C,addgreen,
001E4A,addred,
001E4E,next,
001E52,PaletteFadeOut,
001E5C,mainloop,
001E72,FadeOut_ToBlack,
001E82,decolour,
001E98,decolour2,
001EA0,FadeOut_DecColour,dered
001EB0,degreen,
001EBE,deblue,
001ECC,next,
001ED0,PaletteWhiteIn,
001EEA,fill,
001EF4,mainloop,
001F0A,WhiteIn_FromWhite,
001F20,decolour,
001F44,decolour2,
001F4A,exit,
001F4C,WhiteIn_DecColour,deblue
001F64,degreen,
001F74,dered,
001F78,next,
001F7C,PaletteWhiteOut,
001F86,mainloop,
001F9C,WhiteOut_ToWhite,
001FAC,addcolour,
001FC2,addcolour2,
001FCA,WhiteOut_AddColour,addred
001FE2,addgreen,
001FF4,addblue,
002006,next,
00200A,PalCycle_Sega,
002020,loc_2020,
00202A,loc_202A,
002034,loc_2034,
00203E,loc_203E,
002054,loc_2054,
002062,loc_2062,
00206A,loc_206A,
002088,loc_2088,
0020A8,loc_20A8,
0020B2,loc_20B2,
0020BC,loc_20BC,
0020C0,Pal_Sega1,
0020CC,Pal_Sega2,
0020FC,input,PalLoad_Fade
002110,loop,
002118,PalLoad,
002128,loop,
002130,PalLoad_Fade_Water,
002144,loop,
00214C,PalLoad_Water,
002160,loop,
002168,makePalEntry,__LABEL__ / Pal_Index / NOTE / palid_SegaBG
002170,palid_Title,
002178,palid_LevelSel,
002180,palid_Sonic,
002188,Pal_Levels,palid_GHZ
002190,palid_LZ,
002198,palid_MZ,
0021A0,palid_SLZ,
0021A8,palid_SYZ,
0021B0,palid_SBZ1,
0021B8,_end,palid_Special
0021C0,palid_LZWater,
0021C8,palid_SBZ3,
0021D0,palid_SBZ3Water,
0021D8,palid_SBZ2,
0021E0,palid_LZSonWater,
0021E8,palid_SBZ3SonWat,
0021F0,palid_SSResult,
0021F8,palid_Continue,
002200,palid_Ending,
002208,Pal_SegaBG,
002288,Pal_SegaBG_end,Pal_Title
002308,Pal_Title_end,Pal_LevelSel
002388,Pal_LevelSel_end,Pal_Sonic
0023A8,Pal_Sonic_end,Pal_GHZ
002408,Pal_GHZ_end,Pal_LZ
002468,Pal_LZ_end,Pal_LZWater
0024E8,Pal_LZWater_end,Pal_MZ
002548,Pal_MZ_end,Pal_SLZ
0025A8,Pal_SLZ_end,Pal_SYZ
002608,Pal_SYZ_end,Pal_SBZ1
002668,Pal_SBZ1_end,Pal_SBZ2
0026C8,Pal_SBZ2_end,Pal_Special
002748,Pal_Special_end,Pal_SBZ3
0027A8,Pal_SBZ3_end,Pal_SBZ3Water
002828,Pal_SBZ3Water_end,Pal_LZSonWater
002848,Pal_LZSonWater_end,Pal_SBZ3SonWat
002868,Pal_SBZ3SonWat_end,Pal_SSResult
0028E8,Pal_SSResult_end,Pal_Continue
002928,Pal_Continue_end,Pal_Ending
0029A8,Pal_Ending_end,DelayProgram / WaitForVBla
0029AC,wait,
0029B4,RandomNumber,
0029C0,scramble,
0029DA,input,output / CalcSine
0029F2,Sine_Data,
002C72,input,output / CalcSqrt
002C80,loc_2C80,
