# annotations CSV — auto-generated by tests/tools/gen_annotations_csv.py
# Format: addr_hex,name,notes
# notes column collects aliasing labels at the same address.
000200,EndOfHeader,ErrorTrap
000206,EntryPoint,
000214,PortA_Ok,
00022A,zDACDataStore,
000234,SkipSecurity,
00023E,VDPInitLoop,
000250,WaitForZ80,
000256,Z80InitLoop,
000258,zFMDoNext,
000262,ClrRAMLoop,
00026E,ClrCRAMLoop,
000278,ClrVSRAMLoop,
000280,PSGInitLoop,
000292,PortC_OK,
000300,PSGInitValues_End,GameProgram
000306,CheckSumCheck,
000328,ChecksumTest,
000338,ChecksumLoop,
000370,GameInit,
00037C,GameClrRAM,
000394,MainGameLoop,
0003A2,GameModesArray,
0003CE,ChecksumError,
0003E2,Checksum_Red,
0003EE,ChecksumFailed_Loop,
0003F0,LevelSelectMenu2P,
0003FC,OptionsMenu,
000402,LevelSelectMenu,
000408,V_Int,
000438,zPSGDoNext,
00045E,VintRet,
000484,Vint_Lag,
000526,zPSGNoteOff,
000566,Vint0_noWater,
0005F0,Vint_SEGA,
0005F4,zPSGSilenceAll,
000600,zPauseMusic,
00062A,Vint_PCM,
000660,Vint_Title,
000674,zCycleQueue,
000676,Vint_Unused6,
00067C,Vint_Pause,
000686,Vint_Level,
00078E,zBGMLoad,
0007E6,Do_Updates,
000802,Vint_Pause_specialStage,
000878,Vint_S2SS,
0008D0,zInitSFX,
000920,zPlaySound_CheckRing,
000942,zPlaySound_CheckGloop,
000A3C,zStopSoundEffects,
000AE8,SSSet_VScroll,
000B02,SSRun_Animation_Timers,
000B4E,Vint_CtrlDMA,zStopSoundAndMusic
000B70,Vint_TitleCard,
000B78,zInitMusicPlayback,
000BBE,zSpeedUpMusic,
000BE0,zSetTempo_1up,
000C46,zFMNoteOn,
000C5E,Vint_UnusedE,
000C6E,Vint_Fade,
000C7A,Vint_Ending,
000CFC,cfPanningAMSFMS,
000DF4,Vint_Menu,
000E24,zSetVoice,
000E8A,zSetChanVol,
000E98,Do_ControllerPal,
000EFE,zStopPSGTrack,
000F54,H_Int,
000F78,cfSetPSGNoise,
000F88,cfDisableModulation,
000FD8,zSFXPriority,
000FFE,H_Int_Done,
001000,PalToCRAM,
00105A,zPSG_Env2,
001072,zPSG_Env4,
001084,sndDriverInput,
0010B6,zPSG_Env7,
0010D2,zPSG_Env8,
0010EC,JoypadInit,
00111C,ReadJoypads,
00112A,Joypad_Read,
001158,VDPSetupGame,
00116C,VDP_Loop,
0011A0,VDP_ClrCRAM,
001208,VDPSetupArray_End,ClearScreen
0012FC,zDecEnd,
00135E,PlayMusic,
001370,PlaySound,
001376,PlaySound2,
00137C,PlaySoundLocal,
001388,PauseGame,
0013B2,Pause_Loop,
0013D4,Pause_ChkBC,
0013E4,Pause_ChkStart,
0013F2,Pause_Resume,
0013F8,Unpause,
0013FE,Pause_DoNothing,
001400,Pause_SlowMo,
00140E,PlaneMapToVRAM_H40,
00142E,PlaneMapToVRAM_H80_SpecialStage,
